rn,D04,R04,D08,R08,D12,R12,D16,R16
632,1135.0,24.0,1230.0,7.0,941.0,7.0,641.0,13.0
633,1660.0,35.0,1765.0,15.0,1701.0,7.0,1255.0,15.0
634,1513.0,27.0,1380.0,6.0,1533.0,3.0,995.0,20.0
635,621.0,25.0,703.0,4.0,1915.0,69.0,1372.0,65.0
636,927.0,49.0,933.0,19.0,958.0,19.0,717.0,29.0
637,518.0,117.0,559.0,103.0,0.0,0.0,0.0,0.0
638,1056.0,235.0,1177.0,175.0,1767.0,278.0,1655.0,184.0
639,1180.0,493.0,1269.0,367.0,997.0,340.0,904.0,245.0
640,1976.0,1318.0,2173.0,1005.0,1677.0,820.0,1606.0,577.0
641,792.0,369.0,808.0,289.0,715.0,311.0,706.0,180.0
642,689.0,306.0,742.0,224.0,655.0,190.0,680.0,132.0
643,2206.0,828.0,2407.0,602.0,2441.0,766.0,2223.0,461.0
644,1323.0,598.0,1332.0,485.0,1138.0,449.0,1052.0,337.0
645,830.0,126.0,1024.0,164.0,2438.0,317.0,2148.0,211.0
646,1056.0,168.0,1174.0,125.0,0.0,0.0,0.0,0.0
647,502.0,33.0,523.0,18.0,2043.0,103.0,1570.0,101.0
648,1105.0,24.0,1050.0,3.0,843.0,5.0,531.0,8.0
649,0.0,0.0,0.0,0.0,711.0,4.0,486.0,3.0
651,851.0,19.0,938.0,5.0,1345.0,6.0,859.0,14.0
652,0.0,0.0,0.0,0.0,663.0,8.0,0.0,0.0
653,990.0,28.0,1494.0,23.0,600.0,2.0,797.0,18.0
654,606.0,22.0,642.0,11.0,744.0,5.0,460.0,11.0
655,1407.0,103.0,1381.0,34.0,1412.0,46.0,1095.0,35.0
656,590.0,66.0,654.0,37.0,1127.0,38.0,828.0,42.0
657,838.0,345.0,975.0,266.0,989.0,246.0,860.0,184.0
658,1609.0,856.0,1704.0,678.0,1710.0,621.0,1620.0,445.0
660,656.0,45.0,632.0,18.0,720.0,13.0,443.0,24.0
661,428.0,48.0,443.0,15.0,495.0,9.0,374.0,11.0
662,650.0,31.0,709.0,21.0,858.0,17.0,569.0,20.0
663,875.0,22.0,880.0,9.0,1075.0,5.0,734.0,10.0
664,1696.0,458.0,1881.0,418.0,1349.0,517.0,1330.0,324.0
665,933.0,129.0,999.0,90.0,0.0,0.0,0.0,0.0
666,1251.0,381.0,1324.0,280.0,1274.0,350.0,1183.0,240.0
667,1045.0,400.0,1113.0,365.0,0.0,0.0,0.0,0.0
668,1628.0,773.0,1740.0,580.0,1064.0,546.0,953.0,361.0
669,905.0,296.0,941.0,277.0,1013.0,366.0,919.0,245.0
670,607.0,396.0,648.0,360.0,1271.0,579.0,1343.0,419.0
672,620.0,89.0,659.0,51.0,710.0,51.0,470.0,32.0
673,507.0,92.0,558.0,57.0,518.0,28.0,330.0,29.0
674,1200.0,510.0,1328.0,383.0,1445.0,416.0,1249.0,327.0
675,868.0,586.0,915.0,530.0,929.0,538.0,904.0,353.0
676,435.0,342.0,431.0,302.0,471.0,298.0,377.0,264.0
677,368.0,437.0,367.0,399.0,383.0,412.0,354.0,287.0
678,692.0,1026.0,770.0,849.0,727.0,788.0,685.0,632.0
679,900.0,836.0,957.0,687.0,1034.0,701.0,855.0,615.0
681,319.0,146.0,340.0,107.0,378.0,87.0,297.0,87.0
682,1034.0,126.0,1119.0,79.0,441.0,30.0,290.0,24.0
683,842.0,84.0,692.0,49.0,1031.0,71.0,704.0,65.0
684,610.0,77.0,607.0,48.0,707.0,31.0,534.0,24.0
685,412.0,60.0,439.0,28.0,567.0,37.0,419.0,35.0
686,725.0,12.0,769.0,23.0,1465.0,71.0,1195.0,115.0
688,1248.0,878.0,1509.0,751.0,1346.0,829.0,1311.0,457.0
690,1573.0,1153.0,1658.0,878.0,1425.0,987.0,1298.0,552.0
691,399.0,109.0,537.0,94.0,604.0,99.0,465.0,51.0
692,0.0,0.0,0.0,0.0,987.0,83.0,718.0,61.0
693,336.0,84.0,279.0,34.0,259.0,17.0,195.0,21.0
694,307.0,79.0,350.0,51.0,717.0,71.0,592.0,54.0
695,781.0,258.0,800.0,149.0,714.0,156.0,646.0,121.0
696,210.0,110.0,250.0,52.0,829.0,135.0,631.0,149.0
697,208.0,105.0,194.0,63.0,0.0,0.0,0.0,0.0
698,217.0,99.0,253.0,57.0,0.0,0.0,0.0,0.0
699,619.0,183.0,645.0,100.0,846.0,103.0,727.0,114.0
700,1034.0,280.0,1065.0,168.0,974.0,78.0,705.0,68.0
701,367.0,133.0,381.0,63.0,1035.0,106.0,817.0,109.0
702,335.0,113.0,380.0,66.0,453.0,56.0,354.0,61.0
703,0.0,0.0,0.0,0.0,554.0,59.0,430.0,64.0
704,642.0,234.0,678.0,134.0,368.0,40.0,293.0,44.0
705,987.0,319.0,1056.0,207.0,1111.0,151.0,982.0,144.0
706,915.0,369.0,1004.0,269.0,1937.0,384.0,1724.0,341.0
707,1020.0,493.0,1031.0,300.0,1201.0,253.0,1047.0,243.0
709,1197.0,562.0,1109.0,345.0,0.0,0.0,0.0,0.0
711,774.0,336.0,837.0,197.0,839.0,114.0,660.0,113.0
712,271.0,81.0,320.0,62.0,581.0,80.0,440.0,88.0
713,737.0,354.0,826.0,253.0,1301.0,340.0,1206.0,254.0
714,1185.0,490.0,1391.0,425.0,1395.0,416.0,1252.0,315.0
715,668.0,394.0,695.0,345.0,735.0,319.0,717.0,242.0
716,1176.0,642.0,1277.0,503.0,1133.0,399.0,1108.0,308.0
717,600.0,262.0,621.0,216.0,937.0,295.0,914.0,218.0
718,397.0,230.0,414.0,186.0,422.0,180.0,423.0,141.0
719,898.0,747.0,866.0,580.0,900.0,523.0,812.0,437.0
720,570.0,242.0,630.0,164.0,540.0,107.0,429.0,106.0
721,374.0,139.0,394.0,98.0,473.0,85.0,367.0,96.0
722,486.0,169.0,516.0,133.0,1181.0,258.0,1089.0,248.0
723,548.0,358.0,496.0,286.0,0.0,0.0,0.0,0.0
724,1501.0,1282.0,1547.0,1017.0,1923.0,1127.0,1765.0,947.0
725,933.0,766.0,1005.0,657.0,1034.0,641.0,1006.0,475.0
726,599.0,626.0,606.0,536.0,678.0,512.0,634.0,438.0
727,1127.0,1095.0,1072.0,902.0,1096.0,920.0,921.0,818.0
728,764.0,798.0,751.0,698.0,740.0,668.0,679.0,599.0
729,1106.0,1350.0,1075.0,1194.0,1188.0,1160.0,976.0,1039.0
730,1062.0,1108.0,1003.0,973.0,930.0,801.0,780.0,706.0
