,State,CD,Session,black_vap_frac,hispanic_vap_frac,total_minority_vap_frac,max_minority_vap_frac,Ethnicity,Name,Delegate,BRep,HRep,MRep,const
536,12,14,114,0.2429239285644426,0.2648354325485949,0.5077593611130375,0.2648354325485949,,,,0,0,0,1
973,12,14,115,0.16960230765101972,0.2740681872092278,0.4436704948602476,0.2740681872092278,,,,0,0,0,1
101,12,15,113,0.11974267934754053,0.15428730136091698,0.2740299807084575,0.15428730136091698,,,,0,0,0,1
537,12,15,114,0.12604079990490386,0.1560710660826788,0.28211186598758264,0.1560710660826788,,,,0,0,0,1
974,12,15,115,0.1347506169723484,0.1839524089965786,0.318703025968927,0.1839524089965786,,,,0,0,0,1
102,12,16,113,0.05444664736835692,0.08794076126783977,0.1423874086361967,0.08794076126783977,,,,0,0,0,1
538,12,16,114,0.056415699251474986,0.09100772861785678,0.14742342786933174,0.09100772861785678,,,,0,0,0,1
975,12,16,115,0.07466771684552526,0.13377309573036658,0.20844081257589184,0.13377309573036658,,,,0,0,0,1
103,12,17,113,0.08075640238538895,0.14149155025149984,0.2222479526368888,0.14149155025149984,,,,0,0,0,1
539,12,17,114,0.08308463023611186,0.1482608870692477,0.2313455173053596,0.1482608870692477,,,,0,0,0,1
976,12,17,115,0.07085259186068874,0.12032573160299473,0.19117832346368346,0.12032573160299473,,,,0,0,0,1
104,12,18,113,0.10651187727567303,0.1173629000084844,0.22387477728415744,0.1173629000084844,,,,0,0,0,1
540,12,18,114,0.1113996597116504,0.12287605110997565,0.23427571082162604,0.12287605110997565,,,,0,0,0,1
977,12,18,115,0.11403519143811262,0.13116302010577366,0.2451982115438863,0.13116302010577366,H,"MAST, Brian",0.0,0,1,1,1
105,12,19,113,0.061376684426042875,0.14378789630205652,0.2051645807280994,0.14378789630205652,,,,0,0,0,1
541,12,19,114,0.06518568477848502,0.15094212367744386,0.21612780845592885,0.15094212367744386,,,,0,0,0,1
978,12,19,115,0.06490299597836993,0.15761013073098287,0.2225131267093528,0.15761013073098287,,,,0,0,0,1
